Census_Tract_Name,Total population
Census Tract 1249.03; Los Angeles County; California!!Estimate,"3,964"
Census Tract 1251.01; Los Angeles County; California!!Estimate,"4,465"
Census Tract 1251.02; Los Angeles County; California!!Estimate,"2,053"
Census Tract 1252; Los Angeles County; California!!Estimate,"4,203"
Census Tract 1253.10; Los Angeles County; California!!Estimate,"4,170"
Census Tract 1253.21; Los Angeles County; California!!Estimate,"2,840"
Census Tract 1253.22; Los Angeles County; California!!Estimate,"2,090"
Census Tract 1254.02; Los Angeles County; California!!Estimate,"3,821"
Census Tract 1254.03; Los Angeles County; California!!Estimate,"2,594"
Census Tract 1254.04; Los Angeles County; California!!Estimate,"3,001"
Census Tract 1255.01; Los Angeles County; California!!Estimate,"2,969"
Census Tract 1255.02; Los Angeles County; California!!Estimate,"3,696"
Census Tract 1256; Los Angeles County; California!!Estimate,"2,990"
Census Tract 1271.02; Los Angeles County; California!!Estimate,"5,292"
Census Tract 1271.03; Los Angeles County; California!!Estimate,"3,354"
Census Tract 1271.04; Los Angeles County; California!!Estimate,"4,327"
Census Tract 1272.10; Los Angeles County; California!!Estimate,"5,434"
Census Tract 1272.20; Los Angeles County; California!!Estimate,"4,750"
Census Tract 1273; Los Angeles County; California!!Estimate,"4,301"
Census Tract 1274; Los Angeles County; California!!Estimate,"5,638"
Census Tract 1275.20; Los Angeles County; California!!Estimate,"4,868"
Census Tract 1276.03; Los Angeles County; California!!Estimate,"2,873"
Census Tract 1276.04; Los Angeles County; California!!Estimate,"3,151"
Census Tract 1276.05; Los Angeles County; California!!Estimate,"3,682"
Census Tract 1276.06; Los Angeles County; California!!Estimate,"3,218"
Census Tract 1277.11; Los Angeles County; California!!Estimate,"3,231"
Census Tract 1277.12; Los Angeles County; California!!Estimate,"4,047"
Census Tract 1278.03; Los Angeles County; California!!Estimate,"5,002"
Census Tract 1278.04; Los Angeles County; California!!Estimate,"4,433"
Census Tract 1278.05; Los Angeles County; California!!Estimate,"3,514"
Census Tract 1278.06; Los Angeles County; California!!Estimate,"3,729"
Census Tract 1279.10; Los Angeles County; California!!Estimate,"5,072"
Census Tract 1279.20; Los Angeles County; California!!Estimate,"4,385"
Census Tract 1281.01; Los Angeles County; California!!Estimate,"2,823"
Census Tract 1281.02; Los Angeles County; California!!Estimate,"4,892"
Census Tract 1282.10; Los Angeles County; California!!Estimate,"5,000"
Census Tract 1282.20; Los Angeles County; California!!Estimate,"2,992"
Census Tract 1283.02; Los Angeles County; California!!Estimate,"4,559"
Census Tract 1283.03; Los Angeles County; California!!Estimate,"3,432"
Census Tract 1284; Los Angeles County; California!!Estimate,"4,274"
Census Tract 1285; Los Angeles County; California!!Estimate,"4,401"
Census Tract 1286.01; Los Angeles County; California!!Estimate,"4,842"
Census Tract 1286.02; Los Angeles County; California!!Estimate,"2,687"
Census Tract 1287.03; Los Angeles County; California!!Estimate,"3,576"
Census Tract 1287.04; Los Angeles County; California!!Estimate,"2,328"
Census Tract 1288.01; Los Angeles County; California!!Estimate,"3,864"
Census Tract 1288.02; Los Angeles County; California!!Estimate,"4,317"
Census Tract 1289.10; Los Angeles County; California!!Estimate,"4,528"
Census Tract 1310.21; Los Angeles County; California!!Estimate,"3,237"
Census Tract 1310.22; Los Angeles County; California!!Estimate,"2,877"
Census Tract 1310.23; Los Angeles County; California!!Estimate,"2,655"
Census Tract 1310.24; Los Angeles County; California!!Estimate,"3,894"
Census Tract 1311; Los Angeles County; California!!Estimate,"3,017"
Census Tract 1312; Los Angeles County; California!!Estimate,"3,681"
Census Tract 1313; Los Angeles County; California!!Estimate,"4,316"
Census Tract 1314; Los Angeles County; California!!Estimate,"5,895"
Census Tract 1316; Los Angeles County; California!!Estimate,"4,942"
Census Tract 1317.01; Los Angeles County; California!!Estimate,"4,877"
Census Tract 1317.02; Los Angeles County; California!!Estimate,"3,669"
Census Tract 1318.01; Los Angeles County; California!!Estimate,"2,879"
Census Tract 1318.02; Los Angeles County; California!!Estimate,"2,337"
Census Tract 1319; Los Angeles County; California!!Estimate,"3,959"
Census Tract 1320.01; Los Angeles County; California!!Estimate,"2,714"
Census Tract 1320.02; Los Angeles County; California!!Estimate,"3,585"
Census Tract 1321.01; Los Angeles County; California!!Estimate,"4,113"
Census Tract 1321.02; Los Angeles County; California!!Estimate,"4,993"
Census Tract 1323.01; Los Angeles County; California!!Estimate,"3,616"
Census Tract 1323.02; Los Angeles County; California!!Estimate,"3,176"
Census Tract 1325.01; Los Angeles County; California!!Estimate,"4,658"
Census Tract 1325.02; Los Angeles County; California!!Estimate,"3,398"
Census Tract 1327; Los Angeles County; California!!Estimate,"4,922"
Census Tract 1329; Los Angeles County; California!!Estimate,"3,877"
Census Tract 1330; Los Angeles County; California!!Estimate,"4,096"
Census Tract 1331.01; Los Angeles County; California!!Estimate,"1,709"
Census Tract 1331.02; Los Angeles County; California!!Estimate,"3,926"
Census Tract 1340.01; Los Angeles County; California!!Estimate,"3,457"
Census Tract 1340.02; Los Angeles County; California!!Estimate,"4,024"
Census Tract 1341.01; Los Angeles County; California!!Estimate,"4,660"
Census Tract 1341.03; Los Angeles County; California!!Estimate,"4,172"
