Census_Tract_Name,Total population
3111,3998
3112,3171
3113,3915
3114,2320
3115,5963
3116.01,2947
3116.02,4546
3117,5852
3118.01,2922
3118.02,4200
3201.01,3402
3201.02,3681
3202.01,4058
3202.02,6000
3203,6575
4002.05,2478
4002.06,5525
4002.07,4627
4002.08,1388
4002.09,4581
4003.04,8310
4004.02,4185
4004.03,4123
4004.04,4039
4005.01,1897
4006.02,4382
4006.03,4947
4006.05,7178
4008.01,6935
4010.01,2626
4010.02,4324
4011.01,5695
4011.02,4073
4012.01,3612
4012.02,4344
4012.03,4757
4013.03,2242
4013.04,4939
4013.11,6923
4013.12,4712
4015,6022
4016.01,5428
4016.02,5570
4017.05,2784
4017.06,4533
4017.07,8607
4018.01,4570
4018.02,3724
4019.01,4095
4019.02,6101
4020.01,4125
4020.02,3935
4021.01,4856
4021.02,5136
4022,7069
4023.01,5468
4023.03,3779
4023.04,3942
4024.03,5226
4024.04,1642
4024.05,2428
4024.06,4601
4025.01,4856
4025.03,4330
4025.04,2295
4026.01,2854
4026.02,4841
4027.02,4937
4027.03,5401
4027.05,3596
4027.06,3658
4028.01,4335
4028.03,3477
4028.04,4145
4029.02,6896
4029.03,3650
4029.04,3615
4030,6991
4033.05,2318
4033.16,7007
4033.17,5152
4033.18,5909
4033.19,4206
4033.20,5384
4033.21,5392
4033.23,5592
4033.24,5947
4033.25,4853
4033.26,2328
4033.27,2431
4033.28,5333
4034.01,4911
4034.02,3243
4034.03,5177
4034.04,2200
4034.07,2265
4034.08,6164
4034.09,3897
4035,1438
4036.01,6590
4037.02,4186
4037.03,4786
4037.21,5569
4037.22,5437
4038.01,5605
4038.02,6221
4039.01,2976
4039.02,5250
4040,4547
4041,6307
4042.01,3551
4042.03,4165
4043.01,6257
4043.02,2412
4044.01,3902
4044.02,4624
4045.01,2721
4045.03,2988
4045.04,4844
4046,1352
4047.01,5737
4047.02,4792
4047.03,3209
4048.04,4223
4048.05,2922
4048.06,5842
4049.01,5363
4049.02,3343
4049.03,2677
4050.01,5366
4050.02,3271
4051.01,5368
4051.02,4850
4052.01,5421
4052.02,4208
4052.03,3038
4053.01,2977
4053.02,5688
4054,5027
4055,6207
4056,5748
4057.01,3637
4057.02,5159
4058,5514
4059,4217
4060,5235
4061.01,3206
4061.03,8008
4062.01,3655
4063,5730
4064.13,6398
4065,7917
4066.01,5037
4066.02,4676
4067.01,3198
4067.02,7019
4068.01,4972
4069.03,7307
4070.01,5934
4070.02,3372
4071.01,4315
4071.02,5415
4072.01,3425
4072.02,3082
4073.01,3752
4073.02,3593
4074,1848
4075.01,4241
4075.02,3905
4076.01,4203
4076.02,4026
4077.01,4418
4077.02,6536
4078.01,5148
4078.02,3207
4079.01,4317
4079.02,1632
4080.03,4687
4080.04,2414
4080.05,5367
4080.06,3878
4081.33,5988
4081.34,2641
4081.35,4336
4081.36,3718
4081.37,4099
4081.38,4889
4081.39,4478
4081.40,3409
4081.41,4075
4082.12,4750
4082.13,5787
4083.01,5923
4083.02,3350
4083.03,4228
4084.01,4352
4084.02,6286
4085.03,6923
4085.04,5418
4085.05,2373
4086.23,3117
4086.24,3054
4086.25,3873
4086.26,3778
4086.27,2626
4086.28,5591
4086.29,3069
4086.31,5014
4087.03,5547
4087.05,5540
4087.07,6507
4087.22,4244
4087.24,5435
4087.25,5854
4088,4759
4089,5529
4090,7610
4091,5576
4300.03,4848
4300.04,3331
4300.05,3822
4301.01,5018
4301.02,4902
4302,1041
4303.01,4694
4303.02,4859
4304,4267
4305.01,4526
4305.02,6494
4306,4291
4307.01,5074
4307.21,3303
4307.23,5075
4307.24,5018
4308.01,7235
4308.02,4008
4308.03,5079
4309.01,4169
4309.02,5111
4310.02,3072
4310.03,4754
4310.04,3343
4311,7321
4312,6459
4313,2620
4314,3770
4315.01,3874
4315.02,4531
4316,3913
4317.01,6323
4318,5324
4319,3688
4320.01,2261
4320.02,5416
4321.01,4756
4321.02,5479
4322.01,4693
4322.02,3544
4323,3960
4324.01,4217
4324.02,5378
4325.01,4199
4325.02,4310
4326.01,6453
4326.02,4461
4327,4592
4328.01,2307
4328.02,5389
4329.01,4265
4329.02,2993
4331.03,6702
4332,6089
4333.02,1837
4333.04,3999
4333.05,4570
4333.06,3056
4333.07,2738
4334.02,4616
4334.03,4860
4335.05,3981
4335.06,3579
4336.01,4873
4336.02,2730
4338.03,3240
4338.04,4581
4339.01,5401
4339.03,5432
4340.01,4531
4340.03,3704
4340.04,3136
4341,5919
4600.01,1853
4600.02,2748
4601.01,5650
4602,5841
4603.01,4779
4603.02,4399
4604.01,1093
4605.01,5249
4605.02,4810
4606.01,5244
4607,4791
4608,2792
4609,6394
4610,5493
4611,5153
4612,4320
4613,6027
4614,2695
4615.01,3559
4615.02,6056
4616,5161
4617,1344
4619.01,4658
4619.02,2004
4620.01,4303
4620.02,3577
4621,4710
4622.01,3615
4622.02,3206
4623.01,3924
4623.02,3377
4624,3870
4625,6482
4626,2392
4627,5755
4628,2919
4629,3654
4630,2726
4631.03,5607
4632,3262
4633,2014
4634,5869
4635,6173
4636.01,6245
4636.02,5896
4637,3429
4638,3993
4639,3115
4640,5348
4641.01,2223
4641.02,4381
4642,5675
4800.02,3843
4800.11,5220
4800.12,4751
4801.01,4106
4801.02,3957
4802.01,3744
4802.02,2712
4803.02,3992
4803.03,4426
4803.04,4145
4804,5893
4805,5301
4806.01,4044
4806.02,4302
4807.02,4501
4807.03,4074
4807.04,4075
4808.02,3220
4808.03,3027
4808.04,4675
4809.01,3901
4809.02,4012
4809.03,2873
4810.01,4582
4810.02,5748
4811.01,4275
4811.02,3603
4811.03,5315
4812.01,4000
4812.03,6768
4813,3072
4814.01,5433
4814.03,3132
4814.04,3867
4815,4336
4816.03,3580
4816.04,4183
4816.05,2811
4816.06,4916
4817.11,4397
4817.12,5182
4817.13,2727
4817.14,2595
4818,2282
4819.01,5562
4819.02,3319
4820.01,2647
4820.02,6821
4821.01,4525
4821.02,3295
4822.01,3857
4822.02,5441
4823.01,4855
4823.03,4766
4823.04,2877
4824.01,3647
4824.03,3254
4824.04,3429
4825.02,3520
4825.03,4007
4825.21,5385
4825.22,4165
4826,6377
4827.01,3856
4827.02,2392
4828.01,3826
5001,3687
5002.02,4919
5002.03,4156
5002.04,2361
5003,2691
5004.02,4660
5004.03,3841
5004.04,4401
5005,2820
5006,5857
5007,6413
5008,4717
5009,5256
5010.01,3015
5010.02,4598
5012,4982
5013.01,2978
5013.02,4534
5014,3443
5015.01,1963
5015.03,5418
5015.04,3317
5016,7339
5017,3793
5018.02,3219
5018.03,4690
5018.04,2133
5019,4330
5020.03,2675
5020.04,3695
5020.05,4392
5021,5339
5022,7093
5023.03,8229
5024.01,5074
5024.02,3470
5025,4255
5026.02,4178
5026.03,3329
5026.04,3682
5027,7569
5028.01,6449
5029.01,5457
5030,5594
5031.03,5595
5031.04,2344
5031.05,3394
5031.06,3961
5032.01,3878
5032.02,4217
5033.01,3436
5033.02,6070
5034.01,7145
5034.02,3845
5035.01,6913
5035.02,3842
5036.01,4140
5036.02,3786
5037.01,4896
5037.02,5165
5037.04,4365
5037.05,2928
5038.01,3718
5038.02,5186
5039.01,2217
5039.02,5065
5040.01,5141
5040.02,5331
5041.01,5068
5042,7160
5300.05,3430
5300.06,4698
5300.07,6453
5301.01,5163
5301.02,4817
5302.02,4133
5302.03,2803
5302.04,3735
5303.01,2100
5303.02,6189
5304,3576
5305,4001
5306.03,4439
5307,2070
5308.01,5914
5308.02,3224
5309.01,3954
5309.02,3745
5310,4609
5311.01,4525
5311.02,2428
5312.01,4180
5312.02,4493
5313.01,5450
5313.02,5648
5315.02,3209
5315.03,2445
5315.04,3990
5316.02,3747
5316.03,3483
5316.04,3065
5317.01,5398
5317.02,4832
5318,4508
5319.01,6664
5319.02,4014
5320.01,3133
5320.02,3348
5321.01,7260
5321.02,3655
5322,6445
5323.02,4622
5323.03,4111
5323.04,3968
5325,3736
5326.05,4431
5326.06,4052
5326.07,5150
5327,3128
5328,4291
5329,6247
5330.01,4368
5330.02,2217
5331.03,3189
5331.04,4307
5331.05,2476
5331.08,4758
5332.01,2157
5332.04,4099
5333,3061
5334.01,4534
5334.02,3988
5334.03,2507
5335.01,2796
5335.04,3879
5336.01,4227
5336.02,5081
5336.03,6314
5337.01,2909
5337.02,3678
5337.03,3916
5338.03,5723
5338.04,3666
5338.05,3883
5338.06,3307
5339.01,5170
5339.02,4339
5340.01,5154
5340.02,3982
5341.01,1898
5341.02,5860
5342.01,4097
5342.02,4875
5342.03,3286
5343.01,4028
5343.02,3835
5344.03,3311
5344.04,3118
5344.05,3925
5344.06,4108
5345.01,5441
5345.02,3187
5347,4165
5348.02,2466
5348.03,4517
5348.04,4298
5349,6133
5350.01,4166
5350.02,3665
5351.01,7981
5351.02,4522
5352,5799
5353,5818
5354,3388
5355.01,2966
5355.02,5003
5355.03,2495
5356.03,3754
5356.04,4242
5356.05,4658
5356.06,1899
5356.07,4611
5357.01,5757
5357.02,5756
5358.02,6316
5358.03,3549
5358.04,6041
5359.01,6051
5359.02,5735
5360,3182
5361.02,3405
5361.03,5162
5361.04,3481
5362.01,3559
5362.02,4214
5400,6734
5401.01,6345
5401.02,5652
5402.01,2269
5402.02,7196
5402.03,5075
5403,4429
5404,1906
5405.01,5455
5405.02,6765
5406,4395
5407,3205
5408,5514
5409.01,5169
5409.02,4281
5410.03,4650
5411,3108
5412,6074
5413,5545
5414.01,3414
5414.02,3218
5415,5105
5416.03,2821
5416.04,5223
5416.05,5060
5416.06,2783
5417,5571
5418.01,5648
5418.02,5114
5420,5241
5421.03,3288
5421.04,4050
5421.05,5047
5421.06,2319
5422,6879
5424.01,4370
5424.02,4023
5425.01,4368
5425.02,4573
5426.01,3306
5426.02,5249
5427,5732
5428,3230
5429,3535
5430,4204
5431,6692
5432.01,3525
5432.03,4081
5433.04,6788
5433.05,3803
5433.06,6821
5433.21,5789
5433.22,6951
5434,3599
5435.01,6326
5435.02,4550
5435.03,5329
5436.01,4531
5436.03,3795
5436.05,4184
5436.06,4051
5436.07,4986
5437.01,3040
5437.03,4207
5437.04,2936
5437.05,3194
5438.01,4470
5438.03,4272
5438.04,4563
5439.03,4127
5439.05,4479
