GEO_ID,FIPS,Census_Tract_Name,Total population
1400000U,6037190801,1908.01,3073
1400000U,6037190802,1908.02,2973
1400000U,6037190901,1909.01,3420
1400000U,6037190902,1909.02,3925
1400000U,6037191000,1910,5335
1400000U,6037191110,1911.1,3808
1400000U,6037191120,1911.2,3776
1400000U,6037191201,1912.01,5722
1400000U,6037191203,1912.03,2010
1400000U,6037191204,1912.04,1532
1400000U,6037191301,1913.01,2077
1400000U,6037191302,1913.02,1825
1400000U,6037191410,1914.1,3363
1400000U,6037191420,1914.2,3065
1400000U,6037191500,1915,5491
1400000U,6037191610,1916.1,3653
1400000U,6037191620,1916.2,2773
1400000U,6037191710,1917.1,2569
1400000U,6037191720,1917.2,3408
1400000U,6037191810,1918.1,2780
1400000U,6037191820,1918.2,3777
1400000U,6037191901,1919.01,4309
1400000U,6037191902,1919.02,2813
1400000U,6037192001,1920.01,2167
1400000U,6037192002,1920.02,2611
1400000U,6037192300,1923,2642
1400000U,6037192410,1924.1,4285
1400000U,6037192420,1924.2,3360
1400000U,6037192510,1925.1,3991
1400000U,6037192520,1925.2,4884
1400000U,6037192610,1926.1,4106
1400000U,6037192620,1926.2,3362
1400000U,6037192700,1927,3070
1400000U,6037194101,1941.01,3273
1400000U,6037194102,1941.02,2504
1400000U,6037194200,1942,3378
1400000U,6037194300,1943,2887
1400000U,6037194401,1944.01,2613
1400000U,6037194402,1944.02,3071
1400000U,6037194500,1945,2116
1400000U,6037195100,1951,4976
1400000U,6037195201,1952.01,2813
1400000U,6037195202,1952.02,3349
1400000U,6037195300,1953,2976
1400000U,6037195400,1954,4348
1400000U,6037195500,1955,5138
1400000U,6037195600,1956,2821
1400000U,6037195710,1957.1,4274
1400000U,6037195720,1957.2,1694
1400000U,6037195802,1958.02,2865
1400000U,6037195803,1958.03,2328
1400000U,6037195804,1958.04,2555
1400000U,6037195901,1959.01,2566
1400000U,6037195902,1959.02,1847
1400000U,6037195903,1959.03,1970
1400000U,6037197200,1972,3639
1400000U,6037197300,1973,3734
1400000U,6037197410,1974.1,3805
1400000U,6037197420,1974.2,3621
1400000U,6037197500,1975,3992
1400000U,6037197600,1976,2080
1400000U,6037197700,1977,4780
1400000U,6037199001,1990.01,2307
1400000U,6037199002,1990.02,2866
1400000U,6037199110,1991.1,2369
1400000U,6037199120,1991.2,3704
1400000U,6037199201,1992.01,3592
1400000U,6037199202,1992.02,2450
1400000U,6037199300,1993,3839
1400000U,6037199400,1994,4373
1400000U,6037199700,1997,2936
1400000U,6037199801,1998.01,3842
